Source;Target;Type;Weight
852310328205606912;852308643529674752;Undirected;1
852310328205606912;852305494832054272;Undirected;1
852310258513063937;852309680873492480;Undirected;1
852310258513063937;852307961594744833;Undirected;1
852310258513063937;852305396903620612;Undirected;1
852310258513063937;852305147531276289;Undirected;1
852310088211718144;852309400782082048;Undirected;1
852310088211718144;852306606046011394;Undirected;1
852310088211718144;852305274018967553;Undirected;1
852309680873492480;852307961594744833;Undirected;1
852309680873492480;852305396903620612;Undirected;1
852309680873492480;852305147531276289;Undirected;1
852309613768790016;852308099847344129;Undirected;3
852309613768790016;852307844305211394;Undirected;3
852309578809298945;852308824769921025;Undirected;1
852309578809298945;852307029532311557;Undirected;1
852309578809298945;852305398165942272;Undirected;1
852309400782082048;852306606046011394;Undirected;1
852309400782082048;852305274018967553;Undirected;1
852309281701539841;852306189048315904;Undirected;1
852308824769921025;852307029532311557;Undirected;1
852308824769921025;852305398165942272;Undirected;1
852308643529674752;852305494832054272;Undirected;1
852308588186009600;852307516998336513;Undirected;1
852308099847344129;852307844305211394;Undirected;3
852307961594744833;852307029532311557;Undirected;1
852307961594744833;852307027615514624;Undirected;1
852307961594744833;852305396903620612;Undirected;2
852307961594744833;852305147531276289;Undirected;1
852307678391128064;852306352999452672;Undirected;1
852307451433144320;852306689500078081;Undirected;1
852307451433144320;852306642498662401;Undirected;1
852307029532311557;852307027615514624;Undirected;2
852307029532311557;852305398165942272;Undirected;1
852307029532311557;852305396903620612;Undirected;1
852307027615514624;852305396903620612;Undirected;1
852306689500078081;852306642498662401;Undirected;2
852306606046011394;852305274018967553;Undirected;1
852305396903620612;852305147531276289;Undirected;1
852672616598863872;852671412938522627;Undirected;1
852672616598863872;852668503916150785;Undirected;1
852672569538949120;852672252604813313;Undirected;2
852672569538949120;852671814983614464;Undirected;3
852672569538949120;852671813519912961;Undirected;3
852672569538949120;852671812374851584;Undirected;3
852672569538949120;852671810957185024;Undirected;3
852672569538949120;852671809241665536;Undirected;3
852672569538949120;852671807589101570;Undirected;3
852672569538949120;852670028776341504;Undirected;1
852672569538949120;852668898168143872;Undirected;1
852672569538949120;852667781459980288;Undirected;1
852672494486130688;852670947610038273;Undirected;1
852672294648332288;852671812374851584;Undirected;1
852672294648332288;852671810957185024;Undirected;1
852672294648332288;852671809241665536;Undirected;1
852672294648332288;852668870158458880;Undirected;1
852672294648332288;852667781459980288;Undirected;1
852672252604813313;852671814983614464;Undirected;2
852672252604813313;852671813519912961;Undirected;2
852672252604813313;852671812374851584;Undirected;2
852672252604813313;852671810957185024;Undirected;2
852672252604813313;852671809241665536;Undirected;2
