Source;Target;Type;Text;Sentiment;RetweetCount;FavouriteCount;UserName;UserLocation;UserLang;UserFollowers;UserFriends
BlueHand;Blues;Undirected;RT @VictorEriceira: ONCE YOU WERE MY FRIEND 😪 #BlueHand  #Blues #Patriots #MarineLePen 🇫🇷  HOW COULD YOU? 😢  #Betrayal Of Members It Is  ht…;0.6037;5;0;Victor Ericeira  🐸;Gab Ai   Pro West   Anti Islam;nl;6769;5255
BlueHand;Patriots;Undirected;RT @VictorEriceira: ONCE YOU WERE MY FRIEND 😪 #BlueHand  #Blues #Patriots #MarineLePen 🇫🇷  HOW COULD YOU? 😢  #Betrayal Of Members It Is  ht…;0.6037;5;0;Victor Ericeira  🐸;Gab Ai   Pro West   Anti Islam;nl;6769;5255
BlueHand;MarineLePen;Undirected;RT @VictorEriceira: ONCE YOU WERE MY FRIEND 😪 #BlueHand  #Blues #Patriots #MarineLePen 🇫🇷  HOW COULD YOU? 😢  #Betrayal Of Members It Is  ht…;0.6037;5;0;Victor Ericeira  🐸;Gab Ai   Pro West   Anti Islam;nl;6769;5255
BlueHand;Betrayal;Undirected;RT @VictorEriceira: ONCE YOU WERE MY FRIEND 😪 #BlueHand  #Blues #Patriots #MarineLePen 🇫🇷  HOW COULD YOU? 😢  #Betrayal Of Members It Is  ht…;0.6037;5;0;Victor Ericeira  🐸;Gab Ai   Pro West   Anti Islam;nl;6769;5255
Blues;Patriots;Undirected;RT @VictorEriceira: ONCE YOU WERE MY FRIEND 😪 #BlueHand  #Blues #Patriots #MarineLePen 🇫🇷  HOW COULD YOU? 😢  #Betrayal Of Members It Is  ht…;0.6037;5;0;Victor Ericeira  🐸;Gab Ai   Pro West   Anti Islam;nl;6769;5255
Blues;MarineLePen;Undirected;RT @VictorEriceira: ONCE YOU WERE MY FRIEND 😪 #BlueHand  #Blues #Patriots #MarineLePen 🇫🇷  HOW COULD YOU? 😢  #Betrayal Of Members It Is  ht…;0.6037;5;0;Victor Ericeira  🐸;Gab Ai   Pro West   Anti Islam;nl;6769;5255
Blues;Betrayal;Undirected;RT @VictorEriceira: ONCE YOU WERE MY FRIEND 😪 #BlueHand  #Blues #Patriots #MarineLePen 🇫🇷  HOW COULD YOU? 😢  #Betrayal Of Members It Is  ht…;0.6037;5;0;Victor Ericeira  🐸;Gab Ai   Pro West   Anti Islam;nl;6769;5255
Patriots;MarineLePen;Undirected;RT @VictorEriceira: ONCE YOU WERE MY FRIEND 😪 #BlueHand  #Blues #Patriots #MarineLePen 🇫🇷  HOW COULD YOU? 😢  #Betrayal Of Members It Is  ht…;0.6037;5;0;Victor Ericeira  🐸;Gab Ai   Pro West   Anti Islam;nl;6769;5255
Patriots;Betrayal;Undirected;RT @VictorEriceira: ONCE YOU WERE MY FRIEND 😪 #BlueHand  #Blues #Patriots #MarineLePen 🇫🇷  HOW COULD YOU? 😢  #Betrayal Of Members It Is  ht…;0.6037;5;0;Victor Ericeira  🐸;Gab Ai   Pro West   Anti Islam;nl;6769;5255
MarineLePen;Betrayal;Undirected;RT @VictorEriceira: ONCE YOU WERE MY FRIEND 😪 #BlueHand  #Blues #Patriots #MarineLePen 🇫🇷  HOW COULD YOU? 😢  #Betrayal Of Members It Is  ht…;0.6037;5;0;Victor Ericeira  🐸;Gab Ai   Pro West   Anti Islam;nl;6769;5255
FB;Like;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
FB;Share;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
FB;Goth;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
FB;Punk;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
FB;HeavyMetal;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
FB;Rockabilly;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
FB;Alternatve;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
Like;Share;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
Like;Goth;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
Like;Punk;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
Like;HeavyMetal;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
Like;Rockabilly;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
Like;Alternatve;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
Share;Goth;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
Share;Punk;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
Share;HeavyMetal;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
Share;Rockabilly;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
Share;Alternatve;Undirected;Check out the #FB shop @ https://t.co/MkP0vYrQ88 #Like &amp: #Share #Goth #Punk #HeavyMetal #Rockabilly #Alternatve… https://t.co/0rzrzUFRr5;0.0;0;0;Plundering Products;Leeds, England;en;1699;1369
