Source;Target;Type;Text;Sentiment;RetweetCount;FavouriteCount;UserName;UserLocation;UserLang;UserFollowers;UserFriends
handcrafted;artisan;Undirected;#handcrafted with inspiring hands from our local #artisan : #kaaya supports #fairtrade products that merry… https://t.co/KfCTdbk2aM;0.6486;0;0;Kaaya Australia;Sydney, New South Wales;en;7;10
handcrafted;kaaya;Undirected;#handcrafted with inspiring hands from our local #artisan : #kaaya supports #fairtrade products that merry… https://t.co/KfCTdbk2aM;0.6486;0;0;Kaaya Australia;Sydney, New South Wales;en;7;10
handcrafted;fairtrade;Undirected;#handcrafted with inspiring hands from our local #artisan : #kaaya supports #fairtrade products that merry… https://t.co/KfCTdbk2aM;0.6486;0;0;Kaaya Australia;Sydney, New South Wales;en;7;10
artisan;kaaya;Undirected;#handcrafted with inspiring hands from our local #artisan : #kaaya supports #fairtrade products that merry… https://t.co/KfCTdbk2aM;0.6486;0;0;Kaaya Australia;Sydney, New South Wales;en;7;10
artisan;fairtrade;Undirected;#handcrafted with inspiring hands from our local #artisan : #kaaya supports #fairtrade products that merry… https://t.co/KfCTdbk2aM;0.6486;0;0;Kaaya Australia;Sydney, New South Wales;en;7;10
kaaya;fairtrade;Undirected;#handcrafted with inspiring hands from our local #artisan : #kaaya supports #fairtrade products that merry… https://t.co/KfCTdbk2aM;0.6486;0;0;Kaaya Australia;Sydney, New South Wales;en;7;10
blues;maroons;Undirected;RL: Both Josh Dugan 4 the #Blues &amp: Jono Thurston 4 #Maroons likely 2 miss #Origin Will leave Jennings/Bird NSW centres: Moylan Res utility!;-0.2714;0;0;NEIL EVANS;Sydney;en;5273;1332
blues;origin;Undirected;RL: Both Josh Dugan 4 the #Blues &amp: Jono Thurston 4 #Maroons likely 2 miss #Origin Will leave Jennings/Bird NSW centres: Moylan Res utility!;-0.2714;0;0;NEIL EVANS;Sydney;en;5273;1332
maroons;origin;Undirected;RL: Both Josh Dugan 4 the #Blues &amp: Jono Thurston 4 #Maroons likely 2 miss #Origin Will leave Jennings/Bird NSW centres: Moylan Res utility!;-0.2714;0;0;NEIL EVANS;Sydney;en;5273;1332
edm;edmfamily;Undirected;Hear tracks in progress at https://t.co/ZrO5GvYsT0 … @ReverbNation #edm #edmfamily #edmlife #opera #Pop #Dubstep… https://t.co/PpzNHObIXf;0.4215;0;0;Sandy Bigara;Gosford, Central Coast;en;1234;2154
edm;edmlife;Undirected;Hear tracks in progress at https://t.co/ZrO5GvYsT0 … @ReverbNation #edm #edmfamily #edmlife #opera #Pop #Dubstep… https://t.co/PpzNHObIXf;0.4215;0;0;Sandy Bigara;Gosford, Central Coast;en;1234;2154
edm;opera;Undirected;Hear tracks in progress at https://t.co/ZrO5GvYsT0 … @ReverbNation #edm #edmfamily #edmlife #opera #Pop #Dubstep… https://t.co/PpzNHObIXf;0.4215;0;0;Sandy Bigara;Gosford, Central Coast;en;1234;2154
edm;pop;Undirected;Hear tracks in progress at https://t.co/ZrO5GvYsT0 … @ReverbNation #edm #edmfamily #edmlife #opera #Pop #Dubstep… https://t.co/PpzNHObIXf;0.4215;0;0;Sandy Bigara;Gosford, Central Coast;en;1234;2154
edm;dubstep;Undirected;Hear tracks in progress at https://t.co/ZrO5GvYsT0 … @ReverbNation #edm #edmfamily #edmlife #opera #Pop #Dubstep… https://t.co/PpzNHObIXf;0.4215;0;0;Sandy Bigara;Gosford, Central Coast;en;1234;2154
edmfamily;edmlife;Undirected;Hear tracks in progress at https://t.co/ZrO5GvYsT0 … @ReverbNation #edm #edmfamily #edmlife #opera #Pop #Dubstep… https://t.co/PpzNHObIXf;0.4215;0;0;Sandy Bigara;Gosford, Central Coast;en;1234;2154
