Source;Target;Type;Text;Sentiment;RetweetCount;FavouriteCount;UserName;UserLocation;UserLang;UserFollowers;UserFriends
wearesoma;minifest;Undirected;So looking forward to #wearesoma #minifest @penleetheatre this summer #gin #jazz #silentdisco… https://t.co/7fMKQjxmxS;0.0;0;2;Cornish Blogger;United Kingdom;en;1179;5002
wearesoma;gin;Undirected;So looking forward to #wearesoma #minifest @penleetheatre this summer #gin #jazz #silentdisco… https://t.co/7fMKQjxmxS;0.0;0;2;Cornish Blogger;United Kingdom;en;1179;5002
wearesoma;jazz;Undirected;So looking forward to #wearesoma #minifest @penleetheatre this summer #gin #jazz #silentdisco… https://t.co/7fMKQjxmxS;0.0;0;2;Cornish Blogger;United Kingdom;en;1179;5002
wearesoma;silentdisco;Undirected;So looking forward to #wearesoma #minifest @penleetheatre this summer #gin #jazz #silentdisco… https://t.co/7fMKQjxmxS;0.0;0;2;Cornish Blogger;United Kingdom;en;1179;5002
minifest;gin;Undirected;So looking forward to #wearesoma #minifest @penleetheatre this summer #gin #jazz #silentdisco… https://t.co/7fMKQjxmxS;0.0;0;2;Cornish Blogger;United Kingdom;en;1179;5002
minifest;jazz;Undirected;So looking forward to #wearesoma #minifest @penleetheatre this summer #gin #jazz #silentdisco… https://t.co/7fMKQjxmxS;0.0;0;2;Cornish Blogger;United Kingdom;en;1179;5002
minifest;silentdisco;Undirected;So looking forward to #wearesoma #minifest @penleetheatre this summer #gin #jazz #silentdisco… https://t.co/7fMKQjxmxS;0.0;0;2;Cornish Blogger;United Kingdom;en;1179;5002
gin;jazz;Undirected;So looking forward to #wearesoma #minifest @penleetheatre this summer #gin #jazz #silentdisco… https://t.co/7fMKQjxmxS;0.0;0;2;Cornish Blogger;United Kingdom;en;1179;5002
gin;silentdisco;Undirected;So looking forward to #wearesoma #minifest @penleetheatre this summer #gin #jazz #silentdisco… https://t.co/7fMKQjxmxS;0.0;0;2;Cornish Blogger;United Kingdom;en;1179;5002
jazz;silentdisco;Undirected;So looking forward to #wearesoma #minifest @penleetheatre this summer #gin #jazz #silentdisco… https://t.co/7fMKQjxmxS;0.0;0;2;Cornish Blogger;United Kingdom;en;1179;5002
Spotify;newrelease;Undirected;New EP from Citizen9 now on #Spotify  #newrelease #newmusic #indie #rock #NewMusicAlert https://t.co/I7tL1hzQzi;0.0;0;0;SkiingVids;Oban, Scotland;en-gb;811;3251
Spotify;newmusic;Undirected;New EP from Citizen9 now on #Spotify  #newrelease #newmusic #indie #rock #NewMusicAlert https://t.co/I7tL1hzQzi;0.0;0;0;SkiingVids;Oban, Scotland;en-gb;811;3251
Spotify;indie;Undirected;New EP from Citizen9 now on #Spotify  #newrelease #newmusic #indie #rock #NewMusicAlert https://t.co/I7tL1hzQzi;0.0;0;0;SkiingVids;Oban, Scotland;en-gb;811;3251
Spotify;rock;Undirected;New EP from Citizen9 now on #Spotify  #newrelease #newmusic #indie #rock #NewMusicAlert https://t.co/I7tL1hzQzi;0.0;0;0;SkiingVids;Oban, Scotland;en-gb;811;3251
Spotify;NewMusicAlert;Undirected;New EP from Citizen9 now on #Spotify  #newrelease #newmusic #indie #rock #NewMusicAlert https://t.co/I7tL1hzQzi;0.0;0;0;SkiingVids;Oban, Scotland;en-gb;811;3251
newrelease;newmusic;Undirected;New EP from Citizen9 now on #Spotify  #newrelease #newmusic #indie #rock #NewMusicAlert https://t.co/I7tL1hzQzi;0.0;0;0;SkiingVids;Oban, Scotland;en-gb;811;3251
newrelease;indie;Undirected;New EP from Citizen9 now on #Spotify  #newrelease #newmusic #indie #rock #NewMusicAlert https://t.co/I7tL1hzQzi;0.0;0;0;SkiingVids;Oban, Scotland;en-gb;811;3251
